Maturity,R^2,Shift,Tilt,Flex,Intercept
1 Month,0.008115064758144941,-0.0006060453642725772,0.0031769712446119707,-0.0007440215570614503,0.0010627787808507021
3 Month,0.09606000986700158,-0.0031401578097500354,0.031344542246506756,0.011184146219380069,0.0030449939680899795
6 Month,0.2429450185058426,-0.0055602976219011075,0.05498306230147005,0.005901314244525667,0.0031998986945085254
1 Year,0.5968843849581172,-0.00901227807469811,0.11126753929043728,-0.012803842547756792,0.003886070879713581
2 Years,0.8060681402254477,-0.01881045563318319,0.12120086032610933,-0.05330192646032222,0.004226462736411516
3 Years,0.8766378625766301,-0.027810151020918904,0.07817694570018346,-0.07731922562727757,0.004252967220910609
5 Years,0.9004803898706882,-0.04319464540274823,-0.07642604491289878,-0.11466726553920152,0.004473404181778438
7 Years,0.9086090189572915,-0.0554572454268395,-0.3237878140450052,-0.10700274887177373,0.0050750238674343905
10 Years,0.9031824432901302,-0.07057525227723133,-0.5552869466662799,-0.0869594610915363,0.004741534738091154
20 Years,0.8761218058338575,-0.10002771554577967,-1.1799335018352495,0.04273326685484519,0.004768266971935835
30 Years,0.8758004353876635,-0.11635055992428853,-2.0050785776789004,0.17130643178794785,0.005828995965292238
